Age,Income,Married,Owns_House,Defaulted
25,30000,No,No,0
40,60000,Yes,Yes,0
35,45000,Yes,No,1
50,80000,No,Yes,0
28,32000,No,No,1
45,70000,Yes,Yes,0
30,40000,No,No,1
55,90000,Yes,Yes,0
38,52000,Yes,No,1
42,65000,No,Yes,0
27,31000,No,No,1
48,75000,Yes,Yes,0
33,42000,Yes,No,1
60,100000,Yes,Yes,0
29,35000,No,No,1
36,48000,Yes,No,1
52,82000,No,Yes,0
31,39000,No,No,1
46,71000,Yes,Yes,0
34,46000,Yes,No,1
41,58000,No,Yes,0
37,50000,Yes,No,1
53,85000,Yes,Yes,0
26,29000,No,No,1
44,68000,Yes,Yes,0
32,41000,No,No,1
49,77000,Yes,Yes,0
39,54000,Yes,No,1
58,95000,No,Yes,0
29,33000,No,No,1
